2021.05.05 06:18:43 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2021.05.05 06:18:43 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2021.05.05 06:18:43 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2021.05.05 06:18:43 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2021.05.05 06:18:43 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2021.05.05 06:18:45 INFO  web[][o.s.s.r.RegisterRules] Register rules
2021.05.05 06:19:20 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2021.05.05 06:19:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2021.05.05 06:19:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2021.05.05 06:19:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2021.05.05 06:19:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2021.05.05 06:19:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2021.05.05 06:19:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
